Date,Close/Last,Open,High,Low,Volume
2016-09-22,18392.460938,18343.759766,18449.880859,18343.759766,73030000
2016-09-21,18293.699219,18164.960938,18307.429688,18121.570313,94090000
2016-09-20,18129.960938,18175.359375,18227.210938,18128.800781,72450000
2016-09-19,18120.169922,18154.820313,18254.880859,18093.050781,78090000
2016-09-16,18123.800781,18217.210938,18217.210938,18070.210938,278510000
2016-09-15,18212.480469,18024.910156,18250.109375,18015.490234,99550000
2016-09-14,18034.769531,18073.390625,18163.480469,17992.210938,103360000
2016-09-13,18066.75,18262.990234,18262.990234,18028.060547,102830000
2016-09-12,18325.070313,18028.949219,18358.689453,17994.839844,103260000
2016-09-09,18085.449219,18404.169922,18404.169922,18085.449219,120670000
2016-09-08,18479.910156,18486.689453,18506.240234,18446.689453,79060000
2016-09-07,18526.140625,18527.710938,18536.890625,18474.769531,67570000
2016-09-06,18538.119141,18493.400391,18551.539063,18450.320313,83710000
2016-09-02,18491.960938,18466.009766,18544.759766,18439.099609,74350000
2016-09-01,18419.300781,18396.570313,18430.050781,18295.480469,74780000
2016-08-31,18400.880859,18436.699219,18439.679688,18333.560547,98250000
2016-08-30,18454.300781,18491.279297,18514.289063,18408.519531,68920000
2016-08-29,18502.990234,18421.289063,18523.089844,18419.919922,64480000
2016-08-26,18395.400391,18467.919922,18572.089844,18335.339844,78730000
2016-08-25,18448.410156,18471.210938,18497.679688,18431.460938,64480000
2016-08-24,18481.480469,18537.5,18539.150391,18448.269531,72270000
2016-08-23,18547.300781,18568.939453,18631.599609,18545.519531,73990000
2016-08-22,18529.419922,18535.859375,18570.919922,18466.859375,73450000
2016-08-19,18552.570313,18585.169922,18585.169922,18491.240234,93170000
2016-08-18,18597.699219,18566.539063,18600.820313,18533.289063,70740000
2016-08-17,18573.939453,18537.089844,18582.349609,18468.679688,71000000
2016-08-16,18552.019531,18614.480469,18614.859375,18550.650391,67570000
2016-08-15,18636.050781,18588.589844,18722.609375,18559.929688,62350000
2016-08-12,18576.470703,18595.650391,18606.060547,18535.859375,61580000
2016-08-11,18613.519531,18519.080078,18638.339844,18519.080078,71470000
2016-08-10,18495.660156,18541.480469,18561.75,18468.779297,62780000
2016-08-09,18533.050781,18538.050781,18585.320313,18507.75,60090000
2016-08-08,18529.289063,18541.890625,18569.310547,18502.029297,71810000
2016-08-05,18543.529297,18402.800781,18543.529297,18402.800781,92420000
2016-08-04,18352.050781,18351.429688,18397.869141,18325.169922,64500000
2016-08-03,18355.0,18313.080078,18355.0,18283.230469,78550000
2016-08-02,18313.769531,18401.150391,18403.650391,18247.789063,89680000
2016-08-01,18404.509766,18434.5,18467.029297,18355.75,83470000
2016-07-29,18432.240234,18442.519531,18466.550781,18371.119141,111550000
2016-07-28,18456.349609,18461.009766,18483.259766,18368.820313,85750000
2016-07-27,18472.169922,18473.269531,18542.390625,18430.939453,111370000
2016-07-26,18473.75,18497.369141,18522.470703,18387.220703,85370000
2016-07-25,18493.060547,18554.490234,18555.689453,18452.619141,76810000
2016-07-22,18570.849609,18524.150391,18571.300781,18491.589844,87710000
2016-07-21,18517.230469,18589.960938,18590.439453,18469.669922,86800000
2016-07-20,18595.029297,18582.699219,18622.009766,18555.650391,93230000
2016-07-19,18559.009766,18503.119141,18562.529297,18495.109375,85840000
2016-07-18,18533.050781,18521.550781,18556.130859,18489.839844,75540000
2016-07-15,18516.550781,18508.880859,18557.429688,18471.619141,123690000
2016-07-14,18506.410156,18414.300781,18537.570313,18414.300781,87050000
2016-07-13,18372.119141,18356.779297,18390.160156,18315.759766,80920000
2016-07-12,18347.669922,18259.119141,18371.949219,18259.119141,90170000
2016-07-11,18226.929688,18161.529297,18283.900391,18161.529297,80880000
2016-07-08,18146.740234,17971.220703,18166.769531,17971.220703,93460000
2016-07-07,17895.880859,17924.240234,17984.949219,17816.650391,81570000
2016-07-06,17918.619141,17807.470703,17926.910156,17713.449219,93000000
2016-07-05,17840.619141,17904.449219,17904.449219,17785.279297,103650000
2016-07-01,17949.369141,17924.240234,18002.380859,17916.910156,82160000
2016-06-30,17929.990234,17712.759766,17930.609375,17711.800781,133030000
2016-06-29,17694.679688,17456.019531,17704.509766,17456.019531,106380000
2016-06-28,17409.720703,17190.509766,17409.720703,17190.509766,112190000
2016-06-27,17140.240234,17355.210938,17355.210938,17063.080078,138740000
2016-06-24,17400.75,17946.630859,17946.630859,17356.339844,239000000
2016-06-23,18011.070313,17844.109375,18011.070313,17844.109375,98070000
2016-06-22,17780.830078,17832.669922,17920.160156,17770.359375,89440000
2016-06-21,17829.730469,17827.330078,17877.839844,17799.800781,85130000
2016-06-20,17804.869141,17736.869141,17946.359375,17736.869141,99380000
2016-06-17,17675.160156,17733.439453,17733.439453,17602.779297,248680000
2016-06-16,17733.099609,17602.230469,17754.910156,17471.289063,91950000
2016-06-15,17640.169922,17703.650391,17762.960938,17629.009766,94130000
2016-06-14,17674.820313,17710.769531,17733.919922,17595.789063,93740000
2016-06-13,17732.480469,17830.5,17893.279297,17731.349609,101690000
2016-06-10,17865.339844,17938.820313,17938.820313,17812.339844,90540000
2016-06-09,17985.189453,17969.980469,18005.220703,17915.880859,69690000
2016-06-08,18005.050781,17931.910156,18016.0,17931.910156,71260000
2016-06-07,17938.279297,17936.220703,18003.230469,17936.220703,78750000
2016-06-06,17920.330078,17825.689453,17949.679688,17822.810547,71870000
2016-06-03,17807.060547,17799.800781,17833.169922,17689.679688,82270000
2016-06-02,17838.560547,17789.050781,17838.560547,17703.550781,75560000
2016-06-01,17789.669922,17754.550781,17809.179688,17664.789063,78530000
2016-05-31,17787.199219,17891.5,17899.240234,17724.029297,147390000
2016-05-27,17873.220703,17826.849609,17873.220703,17824.730469,73190000
2016-05-26,17828.289063,17859.519531,17888.660156,17803.820313,68940000
2016-05-25,17851.509766,17735.089844,17891.710938,17735.089844,79180000
2016-05-24,17706.050781,17525.189453,17742.589844,17525.189453,86480000
2016-05-23,17492.929688,17507.039063,17550.699219,17480.050781,87790000
2016-05-20,17500.939453,17437.320313,17571.75,17437.320313,111990000
2016-05-19,17435.400391,17514.160156,17514.160156,17331.070313,95530000
2016-05-18,17526.619141,17501.279297,17636.220703,17418.210938,79120000
2016-05-17,17529.980469,17701.460938,17701.460938,17469.919922,103260000
2016-05-16,17710.710938,17531.759766,17755.800781,17531.759766,88440000
2016-05-13,17535.320313,17711.119141,17734.740234,17512.480469,86640000
2016-05-12,17720.5,17711.119141,17798.189453,17625.380859,88560000
2016-05-11,17711.119141,17919.029297,17919.029297,17711.050781,87390000
2016-05-10,17928.349609,17726.660156,17934.609375,17726.660156,75790000
2016-05-09,17705.910156,17743.849609,17783.160156,17668.380859,85590000
2016-05-06,17740.630859,17650.300781,17744.539063,17580.380859,80020000
2016-05-05,17660.710938,17664.480469,17736.109375,17615.820313,81530000
2016-05-04,17651.259766,17735.019531,17738.060547,17609.009766,95020000
2016-05-03,17750.910156,17870.75,17870.75,17670.880859,97060000
2016-05-02,17891.160156,17783.779297,17912.349609,17773.710938,80100000
2016-04-29,17773.640625,17813.089844,17814.830078,17651.980469,136670000
2016-04-28,17830.759766,18023.880859,18035.730469,17796.550781,100920000
2016-04-27,18041.550781,17996.140625,18084.660156,17920.259766,109090000
2016-04-26,17990.320313,17987.380859,18043.769531,17934.169922,92570000
2016-04-25,17977.240234,17990.939453,17990.939453,17855.550781,83770000
2016-04-22,18003.75,17985.050781,18026.849609,17909.890625,134120000
2016-04-21,17982.519531,18092.839844,18107.289063,17963.890625,102720000
2016-04-20,18096.269531,18059.490234,18167.630859,18031.210938,100210000
2016-04-19,18053.599609,18012.099609,18103.460938,17984.429688,89820000
2016-04-18,18004.160156,17890.199219,18009.529297,17848.220703,89390000
2016-04-15,17897.460938,17925.949219,17937.650391,17867.410156,118160000
2016-04-14,17926.429688,17912.25,17962.140625,17885.439453,84510000
2016-04-13,17908.279297,17741.660156,17918.349609,17741.660156,91710000
2016-04-12,17721.25,17571.339844,17744.429688,17553.570313,81020000
2016-04-11,17556.410156,17586.480469,17731.630859,17555.900391,107100000
2016-04-08,17576.960938,17555.390625,17694.509766,17528.160156,79990000
2016-04-07,17541.960938,17687.279297,17687.279297,17484.230469,90120000
2016-04-06,17716.050781,17605.449219,17723.550781,17542.539063,99410000
2016-04-05,17603.320313,17718.029297,17718.029297,17579.560547,115230000
2016-04-04,17737.0,17799.390625,17806.380859,17710.669922,85230000
2016-04-01,17792.75,17661.740234,17811.480469,17568.019531,104890000
2016-03-31,17685.089844,17716.050781,17755.699219,17669.720703,102600000
2016-03-30,17716.660156,17652.359375,17790.109375,17652.359375,79330000
2016-03-29,17633.109375,17512.580078,17642.810547,17434.269531,86160000
2016-03-28,17535.390625,17526.080078,17583.810547,17493.029297,70460000
2016-03-24,17515.730469,17485.330078,17517.140625,17399.009766,84100000
2016-03-23,17502.589844,17588.810547,17588.810547,17486.269531,84240000
2016-03-22,17582.570313,17602.710938,17648.939453,17540.419922,95450000
2016-03-21,17623.869141,17589.699219,17644.970703,17551.279297,84410000
2016-03-18,17602.300781,17481.490234,17620.580078,17481.490234,321230000
2016-03-17,17481.490234,17321.380859,17529.009766,17297.650391,117990000
2016-03-16,17325.759766,17249.339844,17379.179688,17204.070313,118710000
2016-03-15,17251.529297,17217.150391,17251.699219,17120.349609,92830000
2016-03-14,17229.130859,17207.490234,17275.070313,17161.160156,96350000
2016-03-11,17213.310547,17014.990234,17220.089844,17014.990234,123420000
2016-03-10,16995.130859,17006.050781,17130.109375,16821.859375,117570000
2016-03-09,17000.359375,16969.169922,17048.5,16947.939453,116690000
2016-03-08,16964.099609,17050.669922,17072.789063,16921.509766,108380000
2016-03-07,17073.949219,16991.289063,17099.25,16940.480469,100290000
