Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AEHR,Aehr Test Systems,1.65,37974687.3,,1997.0,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aehr
AEIS,"Advanced Energy Industries, Inc.",51.71,1986683928.0,,1995.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis
AEL,American Equity Investment Life Holding Company,19.22,1754628492.0,,2003.0,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael
AEL^A,American Equity Investment Life Holding Company,22.16,0.0,,,,,https://old.nasdaq.com/symbol/ael^a
AEM,Agnico Eagle Mines Limited,53.88,12976722027.0,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem
AEMD,"Aethlon Medical, Inc.",1.5,14047176.0,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/aemd
AEO,"American Eagle Outfitters, Inc.",8.5,1421227736.0,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",82.91,41026582805.0,,,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep
AEP^B,"American Electric Power Company, Inc.",50.5,0.0,,,,,https://old.nasdaq.com/symbol/aep^b
AER,Aercap Holdings N.V.,22.96,3021156907.0,,2006.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer
AERI,"Aerie Pharmaceuticals, Inc.",14.74,684355441.4,,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aeri
AES,The AES Corporation,12.7,8442555683.0,,,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/aes
AESE,"Allied Esports Entertainment, Inc.",2.2301,53377155.82,,2017.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/aese
AEY,"ADDvantage Technologies Group, Inc.",2.37,24749812.83,,,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey
AEYE,"AudioEye, Inc.",6.65,59029077.45,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aeye
AEZS,AEterna Zentaris Inc.,0.83,16626236.3,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aezs
AFB,Alliance National Municipal Income Fund Inc,13.0,373684168.0,,2002.0,,,https://old.nasdaq.com/symbol/afb
AFC,Ares Capital Corporation,24.61,196880000.0,,,,,https://old.nasdaq.com/symbol/afc
AFG,"American Financial Group, Inc.",67.16,6034818686.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afg
AFGB,"American Financial Group, Inc.",25.82,0.0,,2019.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgb
AFGC,"American Financial Group, Inc.",24.25,24202955.0,,2019.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgc
AFGH,"American Financial Group, Inc.",25.64,0.0,,2015.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgh
AFH,"Atlas Financial Holdings, Inc.",0.3433,4099967.36,,2013.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afh
AFI,"Armstrong Flooring, Inc.",1.57,33786753.25,,2016.0,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/afi
AFIN,"American Finance Trust, Inc.",6.55,710512992.3,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afin
AFINP,"American Finance Trust, Inc.",19.0,22800000.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afinp
AFL,Aflac Incorporated,36.15,26118791087.0,,,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl
AFMD,Affimed N.V.,2.24,170750540.8,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/afmd
AFT,Apollo Senior Floating Rate Fund Inc.,11.8,183762119.8,,2011.0,,,https://old.nasdaq.com/symbol/aft
AFYA,Afya Limited,18.66,1674628172.0,,2019.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/afya
AG,First Majestic Silver Corp.,7.18,1494244677.0,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ag
AGBA,AGBA Acquisition Limited,10.2209,61069877.5,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agba
AGBAR,AGBA Acquisition Limited,0.12,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agbar
AGBAU,AGBA Acquisition Limited,10.22,61064500.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agbau
AGBAW,AGBA Acquisition Limited,0.0508,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agbaw
AGCO,AGCO Corporation,49.16,3689659359.0,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco
AGD,Aberdeen Global Dynamic Dividend Fund,7.93,99518177.33,,2006.0,,,https://old.nasdaq.com/symbol/agd
AGE,"AgeX Therapeutics, Inc.",0.7924,29838943.25,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age
AGEN,Agenus Inc.,2.78,449219988.7,,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agen
AGFS,"AgroFresh Solutions, Inc.",1.7,87031671.7,,2014.0,Finance,Business Services,https://old.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.008,0.0,,2014.0,Finance,Business Services,https://old.nasdaq.com/symbol/agfsw
AGI,Alamos Gold Inc.,6.65,2605343451.0,,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi
AGIO,"Agios Pharmaceuticals, Inc.",46.37,3190119255.0,,2013.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agio
AGLE,"Aeglea BioTherapeutics, Inc.",5.29,153860903.7,,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agle
AGM,Federal Agricultural Mortgage Corporation,58.17,623119948.5,,,Finance,Finance Companies,https://old.nasdaq.com/symbol/agm
AGM.A,Federal Agricultural Mortgage Corporation,,0.0,,,,,https://old.nasdaq.com/symbol/agm.a
AGM^A,Federal Agricultural Mortgage Corporation,25.0,0.0,,,,,https://old.nasdaq.com/symbol/agm^a
AGM^C,Federal Agricultural Mortgage Corporation,26.67,0.0,,,,,https://old.nasdaq.com/symbol/agm^c
AGM^D,Federal Agricultural Mortgage Corporation,25.2,0.0,,,,,https://old.nasdaq.com/symbol/agm^d
AGMH,AGM Group Holdings Inc.,16.43,358027033.7,,2018.0,Technology,EDP Services,https://old.nasdaq.com/symbol/agmh
AGN,Allergan plc.,187.39,61651687591.0,,2013.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agn
AGNC,AGNC Investment Corp.,11.98,6801046000.0,,2008.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnc
AGNCM,AGNC Investment Corp.,21.87,0.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncm
AGNCN,AGNC Investment Corp.,22.71,295230.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncn
AGNCO,AGNC Investment Corp.,21.55,202570000.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnco
AGNCP,AGNC Investment Corp.,21.2,0.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncp
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,37.835,18917500.0,,,,,https://old.nasdaq.com/symbol/agnd
AGO,Assured Guaranty Ltd.,29.41,2713667905.0,,2004.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ago
AGO^B,Assured Guaranty Ltd.,25.57,0.0,,,,,https://old.nasdaq.com/symbol/ago^b
AGO^E,Assured Guaranty Ltd.,25.23,0.0,,,,,https://old.nasdaq.com/symbol/ago^e
AGO^F,Assured Guaranty Ltd.,24.98,0.0,,,,,https://old.nasdaq.com/symbol/ago^f
AGR,"Avangrid, Inc.",44.11,13630222548.0,,2015.0,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/agr
AGRO,Adecoagro S.A.,3.99,467173339.5,,2011.0,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro
AGRX,"Agile Therapeutics, Inc.",2.18,189791464.9,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agrx
AGS,"PlayAGS, Inc.",2.9,103079342.9,,2018.0,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/ags
AGTC,Applied Genetic Technologies Corporation,4.0,103042752.0,,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agtc
AGX,"Argan, Inc.",38.25,598418534.3,,,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/agx
AGYS,"Agilysys, Inc.",17.44,412576632.5,,,Technology,EDP Services,https://old.nasdaq.com/symbol/agys
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,46.965,93930000.0,,,,,https://old.nasdaq.com/symbol/agzd
AHC,A.H. Belo Corporation,1.45,31045113.35,,,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
